text;vote1;vote2;vote3;final_vote
I got 30 mins to decide if i want to participate in my super busy Monday or lay in bed and rest more;4;4;-1;4
i hate feeling like im forcing someone to talk to me;0;0;-1;0
Perry spam below I wanted to see old tweets including her back;0;0;-1;0
i feel like i could pull off a blonde wig;0;0;-1;0
It's early but I want some Cajun rice;4;4;-1;4
Don't even wanna get out of bed currently. Can i just sleep all day;7;7;-1;7
I THINK HE DONE WITH ME FR;0;0;-1;0
I could get lost kissing under a canopy of her locs ...;0;0;-1;0
I cannot focus for the life of me today. I'm hoping its just burnout;7;7;-1;7
I'm tuning out anything not in my best interest;0;0;-1;0
mia . yeah clearly that didn't end up happening -- but i be on later !;6;6;-1;6
weighed myself this morning and i think i'm finally out of my gain/lose the 3lbs cycle;0;0;-1;0
Kinda in the mood to watch jerry springer , Maury , divorce court lol so yeah I'll probably just lay in bed all day and watch tv;7;7;-1;7
Good morning. I have on my death row turtle neck for this weird snow rain going on outside right now And I had to wear a heavy coat.;7;7;-1;7
I mentally am not in the mood today for work I'm so overstimulated;7;7;-1;7
trying to enjoy the ck pics but i'm too sad rn;3;3;-1;3
I hope the storm chills out before I sign in for work this afternoon because I'm not sitting near all that equipment with all of this lightning;6;6;-1;6
I'm ready for the long weekend, I'm ready magpahinga.;8;8;-1;8
They be mad ashell when I'm like 5-10 min late , but the moment I get to my appointment they running behind anyway ;0;0;-1;0
i hope this to be over tomorrow;8;8;-1;8
She was like we don't have any lids , do you still want the coffee it's hot. Me: Yes, I still want it with a serious face;0;0;-1;0
Before i start thinking what was the Point i Pointto the ArT;0;0;-1;0
Don't mind me listening to old songs of Lady Gaga while making a reporting for tomorrow;5;5;-1;5
Love a four day weekend I love not going to work I love being at home and not being at work;9;9;-1;9
Back to the solo grind but please not just the Haven map all evening long again...;6;6;-1;6
Nooo i am not ready to watch;0;0;-1;0
Ready for a night of laughter with my best friends;6;6;-1;6
Today is just a depression day I just feel totally under the weather, wish I could just sleep in and not go to work;7;7;-1;7
I'm bout to try and make shrimp and grits I'll update y'all later;5;5;-1;5
the music i put on while we're in the garden sat drinking in the sun is actually amazing i shock myself every time;0;0;-1;0
Please wish me all the luck you can give so I can secure a Hamilton ticket tomorrow;8;8;-1;8
why do people shower BEFORE working out is there something im missing;0;0;-1;0
I cannot leave the house without my earphones and coffee, get irritated so easily;0;0;-1;0
Stealing after I finish watching Hell's Paradise;5;5;-1;5
I wan go to the movies this weekend ! That scary movie come out;9;9;-1;9
spent all night doing my presentation wrong. i think i might actually tap out afta this.;6;6;-1;6
Today calls for coffee and a good podcast so I can really tap in and get 103 things done at work;7;7;-1;7
I am so not a high numbers on social media Lady no I love quality over quantity all day long! Plus I love my peace of mind!;0;0;-1;0
A new Facebook Messenger group coming later this afternoon, Carson's Chat and Get Together Group.;6;6;-1;6
tried not to search anything about this singer, but I couldn't bare it. xD okay i'm going to listen to all his songs.;0;0;-1;0
I have no problem at all going to a restaurant alone. I just have my AirPods on and watch YouTube;0;0;-1;0
decided to order starbucks and it's taking likeeeee ages i need to finish an essay man;6;6;-1;6
Imma just get my hair done & go out to eat with my baby;6;6;-1;6
i have a doctors appt in 10 minutes which means i might have to wait for an hour;5;5;-1;5
Good Monday morning Hope to not waste time at work so I can go to Mass and the Perpetual Adoration Chapel in the evening;7;7;-1;7
I'm going back to my red hair;0;0;-1;0
I'm hungry AF this morning so I have to cook up a spread I want bacon, sausage, eggs, hash browns, oatmeal, and toast ;5;5;-1;5
When I'm not work I just look at my baby pictures all day I'm sooo preessed idc;0;0;-1;0
i'm extremely low on energy and patience and everyone chose TODAY to harass me with all of the biggest non-problems;7;7;-1;7
The world is burning and I'm still hustling for a future that might not exist tomorrow. Can it be weekend again;9;9;-1;9
thanks for all the love on my last art (' // yor // yo`) I've been having severe art block these days so it was fun to do something completely different;0;0;-1;0
Given the number of issues getting breakfast done today, I may be off social media and should avoid serious decisions.;7;7;-1;7
i think i'll be having pho today since it's been showing up on my fyp.;7;7;-1;7
my phone was dead for two hours literally vibing in the park felt great;0;0;-1;0
UGHHHHHHH I NEED TO GET MY HAIR DONE;5;5;-1;5
thinking about how i met a teacher yesterday wearing flip flops and jeans. have some decorum;0;0;-1;0
Pulling up to Sam's to get my gas and realizing I left my wallet home is definitely letting me know what kinda day I'm about to have;7;7;-1;7
just gonna wait it out and see how tomorrow and friday go and then i'll let myself spiral into a panic :);8;8;-1;8
i'm getting my closer tattoo either today after work or tomorrow cause I have off of work it just depends on what time my paycheck wants to come into my bank account;8;8;-1;8
I think I'm going to drink myself under the table tonight.;7;7;-1;7
I be waving at the neighbors like we kinfolk lol;0;0;-1;0
Eid literally cannot be on Friday because I'm still waiting for my heels to arrive;8;8;-1;8
